asset	release_tag	download_url	compressed_bytes	sha256	root	notes
goldberg.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/goldberg.tar.zst	1145358	b4e8ea312b647338003ef64b1c7f15f2fd8a55da622a34772f14ef532b594aad	./x86,./x64,./steamclient	Legacy Steam API compatibility DLLs; omitted from the upstream bundle manifest.
fnalibs.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/fnalibs.tar.zst	3198397	1cf999b7fece522e138279d116ae38098be9bb60a83cca61baf9f1427ede9a47	fnalibs	-
metalsharp-electron.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-electron.tar.zst	426879	efc996f57bf8c6b1dd438b2c6f900b4fd50ec6becf3620fe053f1312da96ff73	electron	-
metalsharp-scripts-tools.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-scripts-tools.tar.zst	36491	a596252ec13467267ac4824dd1d99db2580a46b1cb8b867bb2e5f63d4fdffed0	scripts/tools	-
metalsharp-steam.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-steam.tar.zst	2327667	5090e08bdd2edbf7e550726e79c9c9b12c2fdaa501776024fe6d0cb18d2a983e	steam	-
metalsharp-d3d12-developer-sdk.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-d3d12-developer-sdk.tar.zst	392316064	b8e744c4c67a23b5a254844b25450cecfc5a9edcae454eb0ccf245cd620b81e7	developer-sdk/d3d12	-
metalsharp-assets.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-assets.tar.zst	382511084	ded01d7d5e8e21b3b1af61cdb2da38fe75cb1bad6ae1212cbfebfb879c1c48de	assets	-
metalsharp-graphics-dll.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-graphics-dll.tar.zst	109232475	2874229a9f69b04f3bc8e88fd49de8aea223d77cf7a5135d5ea837f730ff20ca	Graphics/dll	-
metalsharp-bundle-manifest-0.56.5-installed.tsv	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-bundle-manifest-0.56.5-installed.tsv	1724	5c55ebab2d0120d400496c1f813f5eedd339244ffb6d4912320e870b1eb8e86f	metadata	-
metalsharp-runtime.tar.zst	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-runtime.tar.zst	329674644	3c5832ad797a04006db4c3daa42e49733bfc0a5f03737680700375ea9d2c1db4	runtime	-
metalsharp-bundle-manifest.tsv	bundles	https://github.com/metalsharp/MetalSharp/releases/download/bundles/metalsharp-bundle-manifest.tsv	1751	5733d871e9fdff34cd5a5facf10fdf29c14b72f337b045dbf05fb06215aef7fa	metadata	-
